Participant,Score (out of 10),Response Time,Music Type,Format
1,8,24.56,Lyrical,comma separated
2,3,29.88,Lyrical,comma separated
3,8,32.34,Lyrical,comma separated
4,4,24.22,Lyrical,comma separated
5,7,30.59,Lyrical,comma separated
6,9,33.47,Lyrical,comma separated
7,4,28.43,Lyrical,comma separated
8,6,29.74,Lyrical,comma separated
9,10,37.78,Lyrical,comma separated
10,7,36.32,Lyrical,comma separated
11,2,31.85,Lyrical,comma separated
12,5,22.23,Lyrical,comma separated
13,8,39.34,Lyrical,comma separated
14,6,36.98,Lyrical,comma separated
15,5,40.98,Lyrical,comma separated
16,5,35.4,Lyrical,comma separated
