Participant,Score (out of 10),Response Time,Music Type,Format
1,9,47.8,Silence,Bulleted 
2,7,48.5,Silence,Bulleted 
3,7,54.5,Silence,Bulleted 
4,6,45.32,Silence,Bulleted 
5,7,55.4,Silence,Bulleted 
6,8,49.56,Silence,Bulleted 
7,3,20.45,Silence,Bulleted 
8,10,53.2,Silence,Bulleted 
9,8,45.6,Silence,Bulleted 
10,7,43.9,Silence,Bulleted 
11,6,50.34,Silence,Bulleted 
12,8,48.44,Silence,Bulleted 
13,5,53.3,Silence,Bulleted 
14,6,50.12,Silence,Bulleted 
15,8,45.23,Silence,Bulleted 
16,7,51.76,Silence,Bulleted 
